,Point of Sale Country,Company Name,Department,Travel Start Date,Travel End Date,Origin,Destination,Route,In Policy,Booking Method,Segment Count,Employee ID,Unit of Measurement,Currency,Mileage,Carbon Emission,Ticket Expense,Mileage Per ticket,Ticket Expense Per ticket,Carbon Emission Per ticket,Day of Week
3,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-07-12,2022-07-12,Banbury,London Marylebone,Banbury - London Marylebone,Yes,Online,1,20298.0,Kg|Km,GBP,120.86,4.96729,45.3,120.86,45.3,4.96729,Tuesday
16,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-06-29,2023-06-29,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,Kg|Km,GBP,127.3,5.23203,46.2,63.65,23.1,2.616015,Thursday
17,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-08-12,2021-08-12,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,1,14792.0,Kg|Km,GBP,63.11,2.59375,20.7,63.11,20.7,2.59375,Thursday
18,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-04-05,2023-04-05,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,Kg|Km,GBP,127.3,5.23203,46.2,63.65,23.1,2.616015,Wednesday
19,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-12-08,2021-12-08,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,Kg|Km,GBP,127.3,5.23203,42.0,63.65,21.0,2.616015,Wednesday
20,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-12-20,2022-12-20,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,Kg|Km,GBP,127.3,5.23203,43.6,63.65,21.8,2.616015,Tuesday
21,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-09-09,2022-09-09,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,Kg|Km,GBP,127.3,5.23203,43.6,63.65,21.8,2.616015,Friday
22,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-07-20,2022-07-20,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,Kg|Km,GBP,127.3,5.23203,43.6,63.65,21.8,2.616015,Wednesday
23,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-10-18,2021-10-18,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,1,14792.0,Kg|Km,GBP,63.11,2.59375,28.3,63.11,28.3,2.59375,Monday
24,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-06-21,2023-06-21,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,Kg|Km,GBP,127.3,5.23203,46.2,63.65,23.1,2.616015,Wednesday
30,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-12-11,2021-12-11,Blackburn,Middlesbrough,Blackburn - Middlesbrough,Yes,Online,3,20367.0,Kg|Km,GBP,460.35,18.92023,111.8,153.45000000000002,37.266666666666666,6.306743333333333,Saturday
31,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-10-02,2020-10-02,Bolton,Manchester Piccadilly,Bolton - Manchester Piccadilly,Yes,Online,1,29160.0,Kg|Km,GBP,24.51,1.00716,4.6,24.51,4.6,1.00716,Friday
32,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-01-24,2023-01-24,Bolton,Manchester Victoria,Bolton - Manchester Victoria,Yes,Online,1,24784.0,Kg|Km,GBP,23.71,0.9744,4.9,23.71,4.9,0.9744,Tuesday
43,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S UK Branch,2023-12-10,2023-12-10,Bristol Parkway,Bristol Parkway,Bristol Parkway - Bristol Parkway,Yes,Online,3,26959.0,Kg|Km,GBP,552.36,22.70214,241.0,184.12,80.33333333333333,7.56738,Sunday
45,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-09-17,2023-09-17,Bristol Parkway,Bristol Temple Meads,Bristol Parkway - Bristol Temple Meads,Yes,Online,1,15661.0,Kg|Km,GBP,11.85,0.48722,5.2,11.85,5.2,0.48722,Sunday
47,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S UK Branch,2023-07-21,2023-07-21,Bristol Parkway,Gatwick Airport,Bristol Parkway - Gatwick Airport,Yes,Online,1,26959.0,Kg|Km,GBP,211.26,8.68298,93.5,211.26,93.5,8.68298,Friday
48,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S UK Branch,2023-10-03,2023-10-03,Bristol Parkway,Gatwick Airport,Bristol Parkway - Gatwick Airport,Yes,Online,1,26959.0,Kg|Km,GBP,211.26,8.68298,72.8,211.26,72.8,8.68298,Tuesday
50,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-01-18,2023-01-19,Bristol Parkway,London Paddington,Bristol Parkway - London Paddington,Yes,Online,2,15661.0,Kg|Km,GBP,367.99,15.12437,90.1,183.995,45.05,7.562185,Wednesday
53,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-10-17,2023-10-17,Bristol Parkway,London Paddington,Bristol Parkway - London Paddington,Yes,Online,2,15661.0,Kg|Km,GBP,367.99,15.12437,95.4,183.995,47.7,7.562185,Tuesday
58,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-02-14,2020-02-14,Bristol Parkway,Stockport,Bristol Parkway - Stockport,Yes,Online,2,23933.0,Kg|Km,GBP,521.6,21.43785,187.4,260.8,93.7,10.718925,Friday
59,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-05-02,2020-05-02,Bristol Parkway,Stockport,Bristol Parkway - Stockport,Yes,Online,2,23933.0,Kg|Km,GBP,521.6,21.43785,187.4,260.8,93.7,10.718925,Saturday
61,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-03-13,2020-03-13,Broxbourne,Stockport,Broxbourne - Stockport,No,Online,3,23933.0,Kg|Km,GBP,938.79,38.58429,269.0,312.93,89.66666666666667,12.86143,Friday
62,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-01-21,2020-01-21,Broxbourne,Stockport,Broxbourne - Stockport,Yes,Online,1,23933.0,Kg|Km,GBP,312.9,12.86032,97.3,312.9,97.3,12.86032,Tuesday
63,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-01-02,2022-01-02,Broxbourne,Tottenham Hale,Broxbourne - Tottenham Hale,Yes,Online,1,23933.0,Kg|Km,GBP,20.72,0.85148,12.3,20.72,12.3,0.85148,Sunday
64,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-02-17,2023-02-17,Brussels-Midi,St. Pancras International Train Station,Brussels-Midi - St. Pancras International Train Station,No,Online,1,14792.0,Kg|Km,GBP,375.74,2.25444,271.3,375.74,271.3,2.25444,Friday
65,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-05-26,2023-05-26,Brussels-Midi,St. Pancras International Train Station,Brussels-Midi - St. Pancras International Train Station,No,Online,1,14792.0,Kg|Km,GBP,375.74,2.25444,267.2,375.74,267.2,2.25444,Friday
66,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-02-17,2023-02-17,Brussels-Midi,St. Pancras International Train Station,Brussels-Midi - St. Pancras International Train Station,No,Online,1,20298.0,Kg|Km,GBP,375.74,2.25444,271.3,375.74,271.3,2.25444,Friday
69,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-10-03,2020-10-03,Cambridge,London Kings Cross,Cambridge - London Kings Cross,Yes,Online,2,18216.0,Kg|Km,GBP,184.18,7.56976,50.4,92.09,25.2,3.78488,Saturday
70,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-01-23,2020-01-23,Cambridge,London Kings Cross,Cambridge - London Kings Cross,Yes,Online,2,18216.0,Kg|Km,GBP,184.18,7.56976,50.4,92.09,25.2,3.78488,Thursday
71,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-10-27,2022-10-27,Cardiff Central,Bearsted,Cardiff Central - Bearsted,Yes,Online,1,14792.0,Kg|Km,GBP,298.95,12.28697,146.3,298.95,146.3,12.28697,Thursday
72,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-09-05,2023-11-05,Cardiff Central,Cardiff Central,Cardiff Central - Cardiff Central,Yes,Online,3,27756.0,Kg|Km,GBP,889.96,36.57744,102.2,296.65333333333336,34.06666666666667,12.192480000000002,Tuesday
74,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-10-01,2023-10-01,Cardiff Central,London Paddington,Cardiff Central - London Paddington,Yes,Online,1,15612.0,Kg|Km,GBP,234.84,9.65179,34.3,234.84,34.3,9.65179,Sunday
75,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-04-10,2022-04-10,Cardiff Central,London Paddington,Cardiff Central - London Paddington,Yes,Online,2,14792.0,Kg|Km,GBP,470.23,19.32635,118.0,235.115,59.0,9.663175,Sunday
76,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-04-10,2022-04-10,Cardiff Central,London Paddington,Cardiff Central - London Paddington,Yes,Online,2,15589.0,Kg|Km,GBP,470.23,19.32635,118.0,235.115,59.0,9.663175,Sunday
77,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-11-23,2023-11-23,Cardiff Central,London Paddington,Cardiff Central - London Paddington,Yes,Online,2,20645.0,Kg|Km,GBP,470.23,19.32635,280.4,235.115,140.2,9.663175,Thursday
79,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-07-11,2023-07-11,Cardiff Central,London Paddington,Cardiff Central - London Paddington,Yes,Online,2,20645.0,Kg|Km,GBP,470.23,19.32635,280.4,235.115,140.2,9.663175,Tuesday
80,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-05-12,2023-05-12,Cardiff Central,London Paddington,Cardiff Central - London Paddington,Yes,Online,2,20645.0,Kg|Km,GBP,470.23,19.32635,280.4,235.115,140.2,9.663175,Friday
81,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-01-07,2021-01-07,Cardiff Central,Manchester Piccadilly,Cardiff Central - Manchester Piccadilly,Yes,Online,1,20645.0,Kg|Km,GBP,296.8,12.19859,81.0,296.8,81.0,12.19859,Thursday
82,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-02-20,2023-02-20,Cardiff Central,Manchester Piccadilly,Cardiff Central - Manchester Piccadilly,No,Online,1,20645.0,Kg|Km,GBP,296.8,12.19859,39.0,296.8,39.0,12.19859,Monday
83,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-06-12,2022-06-12,Cardiff Central,Motherwell,Cardiff Central - Motherwell,No,Online,1,15758.0,Kg|Km,GBP,604.21,24.83289,165.0,604.21,165.0,24.83289,Sunday
84,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-10-01,2023-10-01,Cardiff Central,Stockport,Cardiff Central - Stockport,Yes,Online,1,15612.0,Kg|Km,GBP,294.27,12.09438,44.0,294.27,44.0,12.09438,Sunday
85,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-11-29,2022-11-29,Cardiff Central,Stockport,Cardiff Central - Stockport,Yes,Online,3,27093.0,Kg|Km,GBP,883.09,36.29482,63.0,294.36333333333334,21.0,12.098273333333333,Tuesday
86,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-03-16,2023-03-16,Cardiff Central,Stockport,Cardiff Central - Stockport,Yes,Online,2,27093.0,Kg|Km,GBP,588.53,24.18876,88.9,294.265,44.45,12.09438,Thursday
87,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-04-02,2020-04-02,Carlisle,Glasgow Central,Carlisle - Glasgow Central,Yes,Online,1,15637.0,Kg|Km,GBP,154.79,6.36169,7.05,154.79,7.05,6.36169,Thursday
88,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-02-18,2020-02-18,Carlisle,Glasgow Central,Carlisle - Glasgow Central,Yes,Online,1,15637.0,Kg|Km,GBP,154.79,6.36169,7.05,154.79,7.05,6.36169,Tuesday
89,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-04-03,2020-04-03,Carlisle,Motherwell,Carlisle - Motherwell,Yes,Online,1,15637.0,Kg|Km,GBP,135.9,5.58548,7.05,135.9,7.05,5.58548,Friday
90,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-01-22,2020-01-22,Carlisle,Motherwell,Carlisle - Motherwell,Yes,Online,1,15637.0,Kg|Km,GBP,135.9,5.58548,9.2,135.9,9.2,5.58548,Wednesday
95,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-03-15,2023-03-15,Chester,Newport (South Wales),Chester - Newport (South Wales),No,Online,2,20298.0,Kg|Km,GBP,444.99,18.28905,133.8,222.495,66.9,9.144525,Wednesday
96,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-09-26,2022-09-27,Chester,Newport (South Wales),Chester - Newport (South Wales),No,Online,2,20298.0,Kg|Km,GBP,444.99,18.28905,126.4,222.495,63.2,9.144525,Monday
97,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-03-03,2020-03-03,Chesterfield,Chesterfield,Chesterfield - Chesterfield,No,Online,3,16887.0,Kg|Km,GBP,716.38,29.44311,154.0,238.79333333333332,51.333333333333336,9.81437,Tuesday
98,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-02-26,2020-02-27,Chesterfield,Chesterfield,Chesterfield - Chesterfield,Yes,Online,3,16887.0,Kg|Km,GBP,716.38,29.44311,150.0,238.79333333333332,50.0,9.81437,Wednesday
99,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-12-03,2020-12-03,Chesterfield,Chesterfield,Chesterfield - Chesterfield,Yes,Online,3,16887.0,Kg|Km,GBP,716.38,29.44311,136.0,238.79333333333332,45.333333333333336,9.81437,Thursday
100,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-02-13,2020-02-14,Chesterfield,London St Pancras,Chesterfield - London St Pancras,Yes,Online,2,16887.0,Kg|Km,GBP,477.65,19.63161,102.0,238.825,51.0,9.815805,Thursday
101,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-03-02,2020-03-02,Chesterfield,London St Pancras,Chesterfield - London St Pancras,Yes,Online,2,16887.0,Kg|Km,GBP,477.65,19.63161,150.0,238.825,75.0,9.815805,Monday
102,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-08-09,2020-08-09,Chesterfield,London St Pancras,Chesterfield - London St Pancras,Yes,Online,1,16887.0,Kg|Km,GBP,238.93,9.82012,67.0,238.93,67.0,9.82012,Sunday
103,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-08-03,2023-10-03,Chorley,Chorley,Chorley - Chorley,Yes,Online,3,24720.0,Kg|Km,GBP,1021.06,41.96568,157.7,340.3533333333333,52.56666666666666,13.98856,Thursday
106,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-01-16,2023-01-16,Colwyn Bay,Manchester Airport,Colwyn Bay - Manchester Airport,Yes,Online,1,24666.0,Kg|Km,GBP,111.42,4.57939,27.0,111.42,27.0,4.57939,Monday
107,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-04-03,2020-04-03,Crewe,Carlisle,Crewe - Carlisle,No,Online,1,15637.0,Kg|Km,GBP,229.3,9.42421,26.75,229.3,26.75,9.42421,Friday
108,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-01-22,2020-01-22,Crewe,Carlisle,Crewe - Carlisle,No,Online,1,15637.0,Kg|Km,GBP,229.3,9.42421,26.75,229.3,26.75,9.42421,Wednesday
109,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-04-02,2020-04-02,Crewe,Carlisle,Crewe - Carlisle,No,Online,1,15637.0,Kg|Km,GBP,229.3,9.42421,31.35,229.3,31.35,9.42421,Thursday
110,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-02-18,2020-02-18,Crewe,Carlisle,Crewe - Carlisle,No,Online,1,15637.0,Kg|Km,GBP,229.3,9.42421,34.0,229.3,34.0,9.42421,Tuesday
111,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-06-15,2022-06-16,Crewe,Crewe,Crewe - Crewe,Yes,Online,3,15637.0,Kg|Km,GBP,1139.86,46.84836,95.8,379.9533333333333,31.933333333333334,15.61612,Wednesday
112,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-05-07,2022-06-07,Crewe,Crewe,Crewe - Crewe,Yes,Online,3,15637.0,Kg|Km,GBP,1139.86,46.84836,95.8,379.9533333333333,31.933333333333334,15.61612,Saturday
113,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-06-10,2021-06-10,Crewe,Crewe,Crewe - Crewe,Yes,Online,3,15637.0,Kg|Km,GBP,1152.42,47.36464,44.2,384.14000000000004,14.733333333333334,15.788213333333333,Thursday
114,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-10-20,2021-10-20,Crewe,Crewe,Crewe - Crewe,Yes,Online,3,15637.0,Kg|Km,GBP,1152.42,47.36464,44.2,384.14000000000004,14.733333333333334,15.788213333333333,Wednesday
115,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-07-03,2023-10-03,Crewe,Crewe,Crewe - Crewe,Yes,Online,3,29423.0,Kg|Km,GBP,807.96,33.2073,70.8,269.32,23.599999999999998,11.069099999999999,Monday
116,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-04-26,2022-04-27,Crewe,Crewe,Crewe - Crewe,Yes,Online,3,15637.0,Kg|Km,GBP,1139.86,46.84836,78.8,379.9533333333333,26.266666666666666,15.61612,Tuesday
117,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-06-23,2021-06-23,Crewe,Crewe,Crewe - Crewe,No,Online,3,15637.0,Kg|Km,GBP,1152.42,47.36464,113.9,384.14000000000004,37.96666666666667,15.788213333333333,Wednesday
118,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-06-30,2021-06-30,Crewe,Crewe,Crewe - Crewe,No,Online,3,15637.0,Kg|Km,GBP,1152.42,47.36464,122.1,384.14000000000004,40.699999999999996,15.788213333333333,Wednesday
119,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-07-28,2021-07-28,Crewe,Crewe,Crewe - Crewe,No,Online,3,15637.0,Kg|Km,GBP,1152.42,47.36464,113.9,384.14000000000004,37.96666666666667,15.788213333333333,Wednesday
120,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-07-22,2021-07-22,Crewe,Crewe,Crewe - Crewe,No,Online,3,15637.0,Kg|Km,GBP,1152.42,47.36464,113.9,384.14000000000004,37.96666666666667,15.788213333333333,Thursday
121,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-11-08,2021-11-08,Crewe,Crewe,Crewe - Crewe,No,Online,3,15637.0,Kg|Km,GBP,1152.42,47.36464,113.9,384.14000000000004,37.96666666666667,15.788213333333333,Monday
122,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-05-10,2023-05-10,Crewe,Crewe,Crewe - Crewe,Yes,Online,3,29423.0,Kg|Km,GBP,807.96,33.2073,167.0,269.32,55.666666666666664,11.069099999999999,Wednesday
123,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-03-28,2022-03-29,Crewe,Crewe,Crewe - Crewe,Yes,Online,3,15637.0,Kg|Km,GBP,1139.86,46.84836,87.3,379.9533333333333,29.099999999999998,15.61612,Monday
125,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-03-21,2022-03-22,Crewe,Crewe,Crewe - Crewe,Yes,Online,3,15637.0,Kg|Km,GBP,1139.86,46.84836,97.4,379.9533333333333,32.46666666666667,15.61612,Monday
126,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-06-06,2022-07-06,Crewe,Crewe,Crewe - Crewe,Yes,Online,3,15637.0,Kg|Km,GBP,1139.86,46.84836,81.4,379.9533333333333,27.133333333333336,15.61612,Monday
127,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-07-13,2021-07-13,Crewe,Glasgow Central,Crewe - Glasgow Central,Yes,Online,2,15637.0,Kg|Km,GBP,768.09,31.56843,118.3,384.045,59.15,15.784215,Tuesday
128,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-05-13,2021-05-13,Crewe,Glasgow Central,Crewe - Glasgow Central,Yes,Online,2,15637.0,Kg|Km,GBP,768.09,31.56843,118.3,384.045,59.15,15.784215,Thursday
129,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-05-24,2021-05-24,Crewe,Glasgow Central,Crewe - Glasgow Central,Yes,Online,2,15637.0,Kg|Km,GBP,768.09,31.56843,118.3,384.045,59.15,15.784215,Monday
130,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-05-17,2021-05-17,Crewe,Glasgow Central,Crewe - Glasgow Central,Yes,Online,2,15637.0,Kg|Km,GBP,768.09,31.56843,118.3,384.045,59.15,15.784215,Monday
131,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-05-20,2021-05-20,Crewe,Glasgow Central,Crewe - Glasgow Central,Yes,Online,2,15637.0,Kg|Km,GBP,768.09,31.56843,118.3,384.045,59.15,15.784215,Thursday
132,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2023-12-09,2023-12-09,Crewe,Haymarket,Crewe - Haymarket,Yes,Online,1,15637.0,Kg|Km,GBP,380.21,15.62681,32.5,380.21,32.5,15.62681,Saturday
133,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-11-22,2022-11-22,Crewe,London Euston,Crewe - London Euston,Yes,Online,1,20298.0,Kg|Km,GBP,269.81,11.08911,142.1,269.81,142.1,11.08911,Tuesday
134,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-02-12,2022-02-12,Crewe,Manchester Oxford Road,Crewe - Manchester Oxford Road,Yes,Online,2,29423.0,Kg|Km,GBP,112.65,4.63003,14.9,56.325,7.45,2.315015,Saturday
135,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-12-05,2022-05-13,Curriehill,Manchester Piccadilly,Curriehill - Manchester Piccadilly,Yes,Online,2,24733.0,Kg|Km,GBP,692.44,28.45921,137.4,346.22,68.7,14.229605,Monday
137,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-01-12,2020-10-12,Dax,London St-Pancras,Dax - London St-Pancras,Unknown,Agent Assisted,2,26959.0,Kg|Km,GBP,2362.82,14.17691,426.74,1181.41,213.37,7.088455,Sunday
